CO2,Nuclear,Lignite,HardCoal,NaturalGas,Oil(heavy),Oil(light),Waste,OtherFuels,Biomass,Hydro
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.64,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
6.71,3,6.21,10.6,26.45,41.76,41.76,0,41.8,0,0
